temp (degC)	ideal linear voltage (mV)	piecewiese linear values (mV)				TMP235 TRANSFER FUNCTION
–40	100	100				
–35	150	150				
–30	200	200				
–25	250	250				
–20	300	300				
–15	350	350				
–10	400	400				
–5	450	450				
0	500	500				
5	550	550				
10	600	600				
15	650	650				
20	700	700				
25	750	750				
30	800	800				
35	850	850				
40	900	900				
45	950	950				
50	1000	1000				
55	1050	1050				
60	1100	1100				
65	1150	1150				
70	1200	1200				
75	1250	1250				
80	1300	1300				
85	1350	1350				
90	1400	1400				
95	1450	1450				
100	1500	1500				
105	1550	1550.5				
110	1600	1601				
115	1650	1651.5				
120	1700	1702				
125	1750	1752.5				
130	1800	1805.5				
135	1850	1858.5				
140	1900	1911.5				
145	1950	1964.5				
150	2000	2017.5				
